Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Afghanistan,29904.20,3057.75,110.61,18807.12,6588.92,20236.53,9.00,261.12,8.79,0.00,3083.66,0.23,0.00,0.79,0.00,0.00,0.00,4414.22,7935.32,22246.49,0.00,707.69,231153.82,0.00,40700.46,0.00,0.00,0.00,0.00,0.48,70.11,809.86,235495.46,518.37,13065.94,730.40,3182.81
Albania,6614.12,3452.40,76.83,168.22,1555.80,2403.78,0.00,5311.61,1.91,0.00,668.40,0.00,0.00,0.00,0.00,0.00,99.47,3848.54,2.37,903.04,0.00,1.95,1489.52,41.81,330.11,0.00,0.00,0.51,0.00,0.00,71.09,287.30,415.24,73.61,2.54,697.61,0.00
Algeria,47129.81,53688.46,28.82,98.80,3967.66,1803.03,1407.27,9425.99,0.76,0.00,783.49,0.00,0.00,0.00,0.00,0.00,0.00,8105.48,17.17,16373.22,0.00,221.64,68.89,0.00,12494.70,0.00,0.00,68894.80,0.00,0.39,21.48,2600.93,2075748.34,4956.81,189.04,2172.26,0.00
Andorra,2.75,0.49,0.00,0.00,1.27,0.49,0.00,2.04,0.00,0.00,271.68,2.96,0.00,0.00,0.00,0.00,6.12,16.54,6.13,0.14,0.00,0.00,95.59,0.00,38.91,0.00,0.00,0.00,0.00,0.00,0.00,4.23,11.97,6.83,0.00,0.00,0.00
Angola,33826.91,14894.03,0.00,27.59,13893.67,9293.92,33149.83,303202.06,70652.28,328773.73,0.00,0.00,0.00,0.19,0.00,0.00,0.00,10142.38,9838.88,205203.88,0.00,15635.31,154794.73,0.00,300.45,0.00,0.00,2.20,237.25,343.84,6784.22,917.68,30241.74,15.01,21.94,3697.27,0.00
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15556.12,12352936.93
Antigua and Barbuda,7.62,0.00,0.00,0.00,3.17,6.71,92.85,0.00,0.00,0.00,64.09,0.00,0.00,0.00,0.00,0.00,0.00,15.41,0.45,1.36,0.00,0.00,136.60,0.00,0.09,0.00,0.00,0.00,0.00,4.72,30.66,12.81,0.00,0.00,0.00,107.36,0.00
Argentina,175628.26,285530.20,26.21,11.50,122853.67,67779.48,75673.60,49317.70,172402.45,4465.61,0.08,0.00,0.00,0.00,0.00,0.00,2558.31,59572.43,6002.95,939008.53,0.00,0.52,78657.81,0.00,455634.60,0.00,0.00,14941.26,0.32,17.67,92003.32,6878.31,129006.58,0.00,0.00,42390.22,6484.23
Armenia,3679.76,1742.91,0.00,1382.48,964.81,9216.97,0.00,2417.02,0.94,0.00,129.03,0.00,0.00,0.00,0.00,0.00,13.01,3351.49,21.19,781.74,0.00,4.43,3233.96,0.00,434.60,0.00,0.00,23.31,0.00,0.00,12.34,664.31,330.92,66.89,0.00,1328.73,0.00
