,total,arid|AEZ1,arid|AEZ2,arid|AEZ3,arid|AEZ4,arid|AEZ5,arid|AEZ6,arid|AEZ7,arid|AEZ8,arid|AEZ9,arid|AEZ10,arid|AEZ11,arid|AEZ12,arid|AEZ13,arid|AEZ14,arid|AEZ15,arid|AEZ16,arid|AEZ17,arid|AEZ18,arid|AEZ19,arid|AEZ20,arid|AEZ21,arid|AEZ22,arid|AEZ23,arid|AEZ24,arid|AEZ25,arid|AEZ26,arid|AEZ27,arid|AEZ28,arid|AEZ29
OECD90:Excel,2971992,313752,311581,144605,41829,114316,53054,15347,478079,474771,220341,63737,174189,80841,23385,36,36,16,5,13,6,2,580,576,267,77,211,98,28,460214
OECD90:spatial,4711315,43989,13466,2325,188,1943,536,4,3123036,728665,84008,1652,232614,19952,105,602,1224,37,4,32,4,0,4868,2269,417,20,416,68,3,448855
Eastern Europe:Excel,1575339,219606,220838,140737,33231,36522,23275,5496,186190,187234,119322,28174,30965,19734,4659,5614,5645,3598,849,934,595,140,1194,1201,765,181,199,127,30,298284
Eastern Europe:spatial,1884183,521,48,0,0,46,0,0,568995,77573,5132,37,129915,1247,70,84987,8053,253,3,4708,35,0,8226,200,80,0,168,9,3,993862
Asia (Sans Japan):Excel,2948213,200454,163989,161638,79087,101429,99975,48916,228321,186787,184109,90081,115530,113873,55716,43884,35901,35386,17314,22205,21887,10709,46776,38267,37718,18455,23668,23329,11415,731394
Asia (Sans Japan):spatial,3661654,2529,217,290,61,128,125,61,333624,61749,63621,7437,249611,80977,11211,240322,18383,1645,40,24257,582,44,48289,6421,1830,154,37776,1411,181,2468662
Middle East and Africa:Excel,13668694,589685,717787,414730,70257,262622,151740,25705,1317003,1603106,926257,156911,586540,338896,57410,18680,22738,13138,2226,8319,4807,814,37768,45972,26562,4500,16820,9719,1646,6236337
Middle East and Africa:spatial,17011369,6697,3342,856,44,6453,3305,81,1657002,496261,40556,1320,635804,107739,1246,46439,13481,344,19,32566,850,29,226512,28861,2308,90,27108,2476,53,13669512
Latin America:Excel,1171661,186156,235028,89449,27266,44040,16761,5109,151424,191178,72760,22179,35823,13634,4156,304,384,146,45,72,27,8,839,1059,403,123,198,76,23,72992
Latin America:spatial,1864478,3821,2193,2068,82,1142,2471,58,663112,247914,182044,3973,148068,96488,3287,0,0,0,0,0,0,0,7422,2484,415,41,1537,362,37,495448
China:Excel,1429222,52136,43870,66629,36708,31989,48584,26767,100255,84360,128124,70588,61513,93424,51471,4275,3598,5464,3010,2623,3984,2195,6850,5764,8754,4823,4203,6383,3517,467360
China:spatial,1980741,99,1,236,5,1,25,1,227603,29838,40771,4762,27912,29125,7873,86256,2605,1214,13,2884,197,15,11655,384,491,32,234,177,48,1506269
India:Excel,276822,17087,20365,6472,1869,16001,5085,1468,7722,9204,2925,845,7232,2298,664,14369,17126,5442,1572,13456,4276,1235,27917,33274,10574,3053,26144,8308,2399,8439
India:spatial,236552,267,109,2,5,81,0,0,38431,5824,2237,1248,90847,1402,512,18506,2497,32,10,7002,4,1,19781,3145,108,58,32765,10,4,11649
EU:Excel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU:spatial,8999,212,1183,48,2,30,7,2,822,898,494,61,227,211,14,179,800,35,4,30,4,0,272,334,54,8,41,17,2,2995
USA:Excel,296294,48678,32905,24795,7203,5695,4291,1247,52049,35185,26512,7702,6090,4589,1333,16,11,8,2,2,1,0,88,60,45,13,10,8,2,37752
USA:spatial,656732,2224,1119,2090,44,208,398,1,336459,140816,73228,1037,23533,9972,67,0,0,0,0,0,0,0,2222,634,317,3,25,11,0,62315
