Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Afghanistan,29870.74,3048.53,110.61,18750.84,6573.30,20210.63,8.92,259.49,8.63,0.00,3075.01,0.23,0.00,0.63,0.00,0.00,0.00,4405.58,7914.65,22200.83,0.00,706.63,230908.49,0.00,40683.25,0.00,0.00,0.00,0.00,0.48,70.11,809.56,235140.60,516.34,13055.33,702.61,3149.73
Albania,6599.77,3444.96,76.10,167.93,1552.10,2396.83,0.00,5283.98,1.91,0.00,665.76,0.00,0.00,0.00,0.00,0.00,97.69,3835.76,2.37,898.07,0.00,1.80,1474.70,40.53,325.80,0.00,0.00,0.51,0.00,0.00,66.83,286.37,411.43,72.48,2.54,630.46,0.00
Algeria,47089.13,53664.43,28.83,98.80,3964.65,1800.45,1404.08,9415.21,0.76,0.00,781.21,0.00,0.00,0.00,0.00,0.00,0.00,8093.66,17.17,16364.98,0.00,221.41,68.89,0.00,12490.64,0.00,0.00,68853.70,0.00,0.39,21.41,2591.25,2074752.52,4951.99,189.04,2001.58,0.00
Andorra,2.68,0.42,0.00,0.00,1.27,0.49,0.00,1.76,0.00,0.00,266.61,2.96,0.00,0.00,0.00,0.00,5.77,15.98,5.63,0.14,0.00,0.00,90.18,0.00,36.80,0.00,0.00,0.00,0.00,0.00,0.00,4.23,11.19,6.34,0.00,0.00,0.00
Angola,33797.35,14887.97,0.00,27.41,13873.54,9286.01,33095.62,303029.95,70623.05,328553.52,0.00,0.00,0.00,0.19,0.00,0.00,0.00,10119.08,9831.27,205070.01,0.00,15631.56,154727.11,0.00,297.63,0.00,0.00,2.20,226.88,336.95,6698.57,915.17,30204.99,14.10,21.39,3391.51,0.00
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12768.72,12345384.38
Antigua and Barbuda,7.53,0.00,0.00,0.00,3.08,6.53,91.49,0.00,0.00,0.00,63.64,0.00,0.00,0.00,0.00,0.00,0.00,15.32,0.45,1.27,0.00,0.00,135.69,0.00,0.00,0.00,0.00,0.00,0.00,4.17,26.58,11.72,0.00,0.00,0.00,83.94,0.00
Argentina,175608.31,285506.82,25.96,11.09,122827.21,67751.48,75458.38,49205.85,172319.82,4448.33,0.08,0.00,0.00,0.00,0.00,0.00,2532.02,59491.40,6000.16,938593.23,0.00,0.45,78602.79,0.00,455335.13,0.00,0.00,14928.32,0.32,17.67,91898.10,6864.74,128851.42,0.00,0.00,41611.25,6410.51
Armenia,3649.40,1718.61,0.00,1368.10,958.77,9173.24,0.00,2400.94,0.94,0.00,128.96,0.00,0.00,0.00,0.00,0.00,13.01,3332.38,20.46,769.86,0.00,4.07,3202.50,0.00,425.17,0.00,0.00,23.16,0.00,0.00,12.34,662.87,328.58,65.86,0.00,1327.16,0.00
